figure,desc,
"Figure 8.2.1.1-1: Inter-gNB-DU Mobility for intra-NR
","Inter-gNB-DU Mobility
This procedure is used for the case when the UE moves from one gNB-DU to another gNB-DU within the same gNB-
CU during NR operation. Figure 8.2.1.1-1 shows the inter-gNB-DU mobility procedure for intra-NR. . The UE sends a MeasurementReport message to the source gNB-DU.2. The source gNB-DU sends an UL RRC MESSAGE TRANSFER message to the gNB-CU to convey the
received MeasurementReport message.
2a. The gNB-CU may send an UE CONTEXT MODIFICATION REQUEST message to the source gNB-DU to
query the latest configuration.
2b. The source gNB-DU responds with an UE CONTEXT MODIFICATION RESPONSE message that includes full
configuration information.
3. The gNB-CU sends an UE CONTEXT SETUP REQUEST message to the target gNB-DU to create an UE
context and setup one or more data bearers. The UE CONTEXT SETUP REQUEST message includes a
HandoverPreparationInformation. In case of NG-RAN sharing, the gNB-CU includes the serving PLMN ID (for
SNPNs the serving SNPN ID).
4. The target gNB-DU responds to the gNB-CU with an UE CONTEXT SETUP RESPONSE message.
5. The gNB-CU sends a UE CONTEXT MODIFICATION REQUEST message to the source gNB-DU, which
includes a generated RRCReconfiguration message and indicates to stop the data transmission for the UE. The
source gNB-DU also sends a Downlink Data Delivery Status frame to inform the gNB-CU about the
unsuccessfully transmitted downlink data to the UE.
NOTE:
 In case of DAPS Handover, the UE CONTEXT MODIFICATION REQUEST message in step 5 may
indicate to stop the data transmission only for the DRB(s) not subject to DAPS Handover or may not
indicate to stop the data transmission at all. Instead, the DL RRC Message Transfer procedure can be used
to carry the handover command to the UE. The UE CONTEXT MODIFICATION REQUEST message
that indicates to stop the data transmission for the UE is sent to the source gNB-DU once the gNB-CU
knows that the UE has successfully accessed the target gNB-DU, for which the source gNB-DU sends a
DDDS frame about the unsuccessfully transmitted downlink data to the gNB-CU.
6. The source gNB-DU forwards the received RRCReconfiguration message to the UE.
7. The source gNB-DU responds to the gNB-CU with the UE CONTEXT MODIFICATION RESPONSE message.
8. A Random Access procedure is performed at the target gNB-DU. The target gNB-DU sends a Downlink Data
Delivery Status frame to inform the gNB-CU. Downlink packets, which may include PDCP PDUs not
successfully transmitted in the source gNB-DU, are sent from the gNB-CU to the target gNB-DU.
NOTE:
 It is up to gNB-CU implementation whether to start sending DL User Data to gNB-DU before or after
reception of the Downlink Data Delivery Status.
9. The UE responds to the target gNB-DU with an RRCReconfigurationComplete message.
10. The target gNB-DU sends an UL RRC MESSAGE TRANSFER message to the gNB-CU to convey the received
RRCReconfigurationComplete message. Downlink packets are sent to the UE. Also, uplink packets are sent from
the UE, which are forwarded to the gNB-CU through the target gNB-DU.
11. The gNB-CU sends an UE CONTEXT RELEASE COMMAND message to the source gNB-DU.
12. The source gNB-DU releases the UE context and responds the gNB-CU with an UE CONTEXT RELEASE
COMPLETE message.",48.png
"Figure 8.2.1.3-1: Inter-gNB-DU Conditional Handover or Conditional PSCell Change for intra-NR
","Inter-gNB-DU Conditional Handover or Conditional PSCell Change
This procedure is used for the case when the UE moves from one gNB-DU to another gNB-DU within the same gNB-
CU during NR operation for conditional handover or conditional PSCell change. Figure 8.2.1.3-1 shows the inter-gNB-
DU conditional mobility procedure for intra-NR.3. The gNB-CU sends an UE CONTEXT SETUP REQUEST message to the candidate gNB-DU to create an UE
context and setup one or more data bearers. The UE CONTEXT SETUP REQUEST message is sent for each
candidate cell and includes a HandoverPreparationInformation (conditional handover) or a CG-ConfigInfo
(conditional PSCell change).
4. The candidate gNB-DU responds to the gNB-CU with an UE CONTEXT SETUP RESPONSE message
including the target cell ID that was requested from the gNB-CU. The response message is sent for each
requested candidate cell.
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 32
 ETSI TS 138 401 V17.6.0 (2023-10)
5. The gNB-CU sends a DL RRC MESSAGE TRANSFER message to the source gNB-DU, which includes a
generated RRCReconfiguration message.
6. The step 6 is as defined in clause 8.2.1.1.
7-8. The UE responds to the source gNB-DU with an RRCReconfigurationComplete message, for which the
source gNB-DU forwards to the gNB-CU via an UL RRC MESSAGE TRANSFER message.
9. An execution condition to trigger initiation of conditional handover or conditional PSCell change is fulfilled.
10. A Random Access procedure is performed at the candidate gNB-DU, which becomes the target gNB-DU if
successful. The target gNB-DU sends a Downlink Data Delivery Status frame to inform the gNB-CU. The target
gNB-DU also sends an ACCESS SUCCESS message to inform the gNB-CU of which cell the UE has
successfully accessed.
11-12. The steps 11-12 are as defined in steps 9-10 in clause 8.2.1.1.
13. The gNB-CU sends a UE CONTEXT MODIFICATION REQUEST message to the source gNB-DU and
indicates to stop the data transmission for the UE. The source gNB-DU also sends a Downlink Data Delivery
Status frame to inform the gNB-CU about the unsuccessfully transmitted downlink data to the UE. Downlink
packets, which may include PDCP PDUs not successfully transmitted in the source gNB-DU, are sent from the
gNB-CU to the target gNB-DU.
NOTE:
 The step 13 may happen before step 12, as soon as the gNB-CU knows which cell the UE has
successfully accessed.
NOTE:
 The gNB-CU may initiate UE Context Release procedure toward the other signalling connections or other
candidate target gNB-DUs, if any, to cancel conditional handover or conditional PSCell change for the
UE.
14. The source gNB-DU responds to the gNB-CU with the UE CONTEXT MODIFICATION RESPONSE message.
15 -16.
 The steps 15-16 are as defined in steps 11-12 in clause 8.2.1.1.",49.png
Figure 8.2.2.1-1: Inter-gNB-DU Mobility using MCG SRB in EN-DC,"This procedure is used for the case the UE moves from one gNB-DU to another gNB-DU within the same gNB-CU
when only MCG SRB is available during EN-DC operation. Figure 8.2.2.1-1 shows the inter-gNB-DU mobility
procedure using MCG SRB in EN-DC.1. The UE sends an ULInformationTransferMRDC message to the MeNB.
2. The MeNB sends RRC TRANSFER message to the gNB-CU.
3. The gNB-CU may send UE CONTEXT MODIFICATION REQUEST message to the source gNB-DU to query
the latest SCG configuration.
4. The source gNB-DU responds with an UE CONTEXT MODIFICATION RESPONSE message that includes
full configuration information.
5. The gNB-CU sends an UE CONTEXT SETUP REQUEST message to the target gNB-DU to create an UE
context and setup one or more data bearers. The UE CONTEXT SETUP REQUEST message includes a CG
ConfigInfo.
6. The target gNB-DU responds the gNB-CU with an UE CONTEXT SETUP RESPONSE message.
7. The gNB-CU sends a UE CONTEXT MODIFICATION REQUEST message to the source gNB-DU indicating
to stop the data transmission to the UE. The source gNB-DU also sends a Downlink Data Delivery Status frame
to inform the gNB-CU about the unsuccessfully transmitted downlink data to the UE.
8. The source gNB-DU responds the gNB-CU with an UE CONTEXT MODIFICATION RESPONSE message.
9. The gNB-CU sends an SGNB MODIFICATION REQUIRED message to the MeNB.
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 34
 ETSI TS 138 401 V17.6.0 (2023-10)
10/11. The MeNB Initiated SgNB Modification procedure may be triggered by the SgNB Initiated SgNB
Modification procedure (e.g. to provide information such as data forwarding addresses, new SN security key,
measurement gap, etc...).
12. The MeNB and the UE perform RRC Connection Reconfiguration procedure.
13. The MeNB sends an SGNB MODIFICATION CONFIRM message to the gNB-CU.
14. Random Access procedure is performed at the target gNB-DU. The target gNB-DU sends a Downlink Data
Delivery Status frame to inform the gNB-CU. Downlink packets, which may include PDCP PDUs not
successfully transmitted in the source gNB-DU, are sent from the gNB-CU to the target gNB-DU. Downlink
packets are sent to the UE. Also, uplink packets are sent from the UE, which are forwarded to the gNB-CU
through the target gNB-DU.
NOTE:
 It is up to gNB-CU implementation whether to start sending DL User Data to gNB-DU before or after
reception of the Downlink Data Delivery Status.
15. The gNB-CU sends an UE CONTEXT RELEASE COMMAND message to the source gNB-DU.
16. The source gNB-DU releases the UE context and responds the gNB-CU with an UE CONTEXT RELEASE
COMPLETE message.",50.png
Figure 8.2.2.3-1: Inter-gNB-DU Conditional PSCell Change using MCG SRB without MN negotiation in EN-DC,"This procedure is used for the case where the UE moves from one gNB-DU to another gNB-DU within the same gNB-
CU when only MCG SRB is available and the MN’s configuration is not changed during EN-DC operation for
conditional PSCell change. Figure 8.2.2.3-1 shows the inter-gNB-DU conditional PSCell change procedure using MCG
SRB in EN-DC.1-4.
 The steps 1-4 are as defined in clause 8.2.2.1.
5. The gNB-CU sends an UE CONTEXT SETUP REQUEST message to the candidate gNB-DU to create an UE
context and setup one or more data bearers. The UE CONTEXT SETUP REQUEST message is sent for each
candidate cell and includes a CG-ConfigInfo.
6. The candidate gNB-DU responds the gNB-CU with an UE CONTEXT SETUP RESPONSE message including
the target cell ID that was requested from the gNB-CU. The response message is sent for each requested
candidate cell.
7. The gNB-CU sends an SGNB MODIFICATION REQUIRED message to the MeNB, which includes a
generated RRCReconfiguration message.
8. The MeNB and the UE perform RRC Connection Reconfiguration/Complete procedure.
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 36
 ETSI TS 138 401 V17.6.0 (2023-10)
9. The MeNB sends an SGNB MODIFICATION CONFIRM message to the gNB-CU, to convey the received
RRCReconfigurationComplete message at step 8.
10. An execution condition to trigger initiation of conditional PSCell change is fulfilled.
11. Random Access procedure is performed at the candidate gNB-DU, which becomes the target gNB-DU if
successful. The target gNB-DU sends a Downlink Data Delivery Status frame to inform the gNB-CU. The target
gNB-DU also sends an ACCESS SUCCESS message to inform the gNB-CU of which cell the UE has
successfully accessed.
12-13. The UE responds with an RRCReconfigurationComplete message (embedded in an
ULInformationTransferMRDC message), which the MeNB forwards to the gNB-CU via an RRC TRANSFER
message.
14. The gNB-CU sends a UE CONTEXT MODIFICATION REQUEST message to the source gNB-DU and
indicates to stop the data transmission for the UE. The source gNB-DU sends a Downlink Data Delivery Status
frame to inform the gNB-CU about the unsuccessfully transmitted downlink data to the UE. Downlink packets,
which may include PDCP PDUs not successfully transmitted in the source gNB-DU, are sent from the gNB-CU
to the target gNB-DU. Downlink packets are sent to the UE. Also, uplink packets are sent from the UE, which
are forwarded to the gNB-CU through the target gNB-DU.
NOTE:
 The step 14 may happen before step 13, as soon as the gNB-CU knows which cell the UE has
successfully accessed.
NOTE:
 The gNB-CU may initiate UE Context Release procedure toward the other signalling connections or other
candidate target gNB-DUs, if any, to cancel conditional PSCell change for the UE.
15. The source gNB-DU responds to the gNB-CU with the UE CONTEXT MODIFICATION RESPONSE message.
16-17. The steps 16-17 are as defined in steps 11-12 in clause 8.2.1.1.",51.png
Figure 8.2.3.1-1: IAB intra-CU topology adaptation procedure," The migrating IAB-MT sends a MeasurementReport message to the source parent node IAB-DU. This report is
based on a Measurement Configuration the migrating IAB-MT received from the IAB-donor-CU before.
2.The source parent node IAB-DU sends an UL RRC MESSAGE TRANSFER message to the IAB-donor-CU to
convey the received MeasurementReport.
3.The IAB-donor-CU sends a UE CONTEXT SETUP REQUEST message to the target parent node IAB-DU to
create the UE context for the migrating IAB-MT and set up one or more bearers. These bearers can be used by
the migrating IAB-MT for its own signalling, and, optionally, data traffic.
4. The target parent node IAB-DU responds to the IAB-donor-CU with a UE CONTEXT SETUP RESPONSE
message.
5. The IAB-donor-CU sends a UE CONTEXT MODIFICATION REQUEST message to the source parent node
IAB-DU, which includes a generated RRCReconfiguration message. The RRCReconfiguration message includes
a default BH RLC channel and a default BAP Routing ID configuration for UL F1-C/non-F1 traffic mapping on
the target path. It may include additional BH RLC channels. This step may also include allocation of TNL
address(es) that is (are) routable via the target IAB-donor-DU. The new TNL address(es) may be included in the
RRCReconfiguration message as a replacement for the TNL address(es) that is (are) routable via the source IAB-
donor-DU. In case IPsec tunnel mode is used to protect the F1 and non-F1 traffic, the allocated TNL address is
outer IP address. The TNL address replacement is not necessary if the source and target paths use the same IAB-
donor-DU. The Transmission Action Indicator in the UE CONTEXT MODIFICATION REQUEST message
indicates to stop the data transmission to the migrating IAB-node.
6. The source parent node IAB-DU forwards the received RRCReconfiguration message to the migrating IAB-MT.
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 38
 ETSI TS 138 401 V17.6.0 (2023-10)
7.The source parent node IAB-DU responds to the IAB-donor-CU with the UE CONTEXT MODIFICATION
RESPONSE message.
8. A Random Access procedure is performed at the target parent node IAB-DU.
9. The migrating IAB-MT responds to the target parent node IAB-DU with an RRCReconfigurationComplete
message.
10. The target parent node IAB-DU sends an UL RRC MESSAGE TRANSFER message to the IAB-donor-CU to
convey the received RRCReconfigurationComplete message. Also, uplink packets can be sent from the migrating
IAB-MT, which are forwarded to the IAB-donor-CU through the target parent node IAB-DU. These UL packets
belong to the IAB-MT’s own signalling and, optionally, data traffic.
11. The IAB-donor-CU configures BH RLC channels and BAP-sublayer routing entries on the target path between
the target parent IAB-node and target IAB-donor-DU as well as DL mappings on the target IAB-donor-DU for
the migrating IAB-node’s target path. These configurations may be performed at an earlier stage, e.g.
immediately after step 3, or before step 3. The IAB-donor-CU may establish additional BH RLC channels to the
migrating IAB-MT via RRC message.
12. The F1-C connections are switched to use the migrating IAB-node’s new TNL address(es), IAB-donor-CU
updates the UL BH information associated to each GTP-tunnel to migrating IAB-node. This step may also
update UL FTEID and DL FTEID associated to each GTP-tunnel. All F1-U tunnels are switched to use the
migrating IAB-node’s new TNL address(es). This step may use non-UE associated signaling in E1 and/or F1
interface to provide updated UP configuration for F1-U tunnels of multiple connected UEs or child IAB-MTs.
The IAB-donor-CU may also update the UL BH information associated with non-UP traffic. Implementation
must ensure the avoidance of potential race conditions, i.e. no conflicting configurations are concurrently
performed using UE-associated and non-UE-associated procedures.
In case IPsec tunnel mode is used for TNL protection, the IAB-node may use MOBIKE (IETF RFC 4555 [29])
to migrate the IPsec tunnel to the new IP outer addresses. After the completion of the MOBIKE procedure, the
IAB-DU initiates an F1AP gNB-DU Configuration Update procedure from which the IAB-donor-CU can
conclude whether the existing inner IP address(es) (e.g. for SCTP association) and the DL F-TEID can be
reused.
If new TNL addresses for F1-C traffic are configured, new SCTP association(s) between the migrating IAB-node
and the IAB-donor-CU may be established using the new TNL address information of the migrating IAB-node.
The migrating IAB-node sends an F1AP gNB-DU CONFIGURATION UPDATE message to the IAB-donor-
CU, which may include new (outer) IP addresses and corresponding new (inner) IP address for the F1-U traffic
to be switched to the target path.
13. The IAB-donor-CU sends a UE CONTEXT RELEASE COMMAND message to the source parent node IAB-
DU.
14. The source parent node IAB-DU releases the migrating IAB-MT’s context and responds to the IAB-donor-CU
with a UE CONTEXT RELEASE COMPLETE message.
15. The IAB-donor-CU releases BH RLC channels and BAP-sublayer routing entries on the source path between
source parent IAB-node and source IAB-donor-DU.
NOTE:
 In case that the source path and target path have common nodes, the BH RLC channels and BAP-sublayer
routing entries of those nodes may not need to be released in Step 15.
Steps 11, 12 and 15 should also be performed for the migrating IAB-node’s descendant nodes, as follows:
The IAB-donor-CU may allocate new TNL address(es) that is (are) routable via the target IAB-donor-DU to
the descendent nodes via RRCReconfiguration message.
If needed, the IAB-donor-CU may also provide a new default UL mapping which includes a default BH RLC
channel and a default BAP Routing ID for UL F1-C/non-F1 traffic on the target path, to the descendant nodes
via RRCReconfiguration message.
If needed, the IAB-donor-CU configures BH RLC channels, BAP-sublayer routing entries and BH RLC
channel mappings on the target path for the descendant nodes in the same manner as described for the
migrating IAB-node in step 11.
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 39
 ETSI TS 138 401 V17.6.0 (2023-10)
The descendant nodes switch their F1-C connections and F1-U tunnels to new TNL addresses that are
anchored at the new IAB-donor-DU, in the same manner as described for the migrating IAB-node in step 12.
Based on implementation, these steps can be performed after or in parallel with the handover of the migrating
IAB-node.
To enable performing these steps in parallel, the IAB-donor-CU sends the RRCReconfiguration message
with the new TNL address(es) and the new default BAP configuration to the descendent node while the
migrating IAB-MT is still connected with source parent node, for example, before Step 5. In this case, the UE
CONTEXT MODIFICATION REQUEST message carrying this RRCReconfiguration message includes a
conditional delivery indication for the descendent node’s parent IAB-DU. Based on this indication, the parent
IAB-DU retains the RRCReconfiguration message until the conditions for delivery are met, as specified in
TS 38.473 [4]. The IAB-donor-CU may further configure the BAP-sublayer routing entries on the migrating
IAB-node and the descendant nodes while the migrating IAB-MT is still connected with the source parent
node.
NOTE:
NOTE:
NOTE:
In upstream direction, in-flight packets between the source parent node and the IAB-donor-CU can be
delivered even after the target path is established.
In-flight downlink data in the source path may be discarded, up to implementation via the NR user plane
protocol (TS 38.425 [24]).
The IAB-donor-CU can determine the unsuccessfully transmitted downlink data over the backhaul link by
implementation.",52.png
"Figure 8.2.3.2-1: IAB intra-CU topology adaptation procedure using MCG SRB in EN-DC
","1. The migrating IAB-MT sends an ULInformationTransferMRDC message to the MeNB
2. The MeNB sends RRC TRANSFER message to the IAB-donor-CU.
3. The IAB-donor-CU may send UE CONTEXT MODIFICATION REQUEST message to the source parent node
IAB-DU, to query the latest SCG configuration.
4.The source parent node IAB-DU responds with a UE CONTEXT MODIFICATION RESPONSE message that
includes full configuration information.
5. The IAB-donor-CU sends a UE CONTEXT SETUP REQUEST message to the target parent node IAB-DU, to
create a UE context for migrating IAB-MT and set up one or more bearers. These bearers can be used by the
migrating IAB-MT for its own signalling, and, optionally, data traffic. The UE CONTEXT SETUP REQUEST
message includes CG-ConfigInfo.
6. The target parent node IAB-DU responds to the IAB-donor-CU with a UE CONTEXT SETUP RESPONSE
message.
7. The IAB-donor-CU sends a UE CONTEXT MODIFICATION REQUEST message to the source parent node
IAB-DU, this message includes the Transmission Action Indicator IE, which instructs the source parent node
IAB-DU to stop the data transmission to the migrating IAB-node. The source parent node IAB-DU also sends a
Downlink Data Delivery Status frame to inform the IAB-donor-CU about the unsuccessfully transmitted
downlink data to the migrating IAB-node.
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 41
 ETSI TS 138 401 V17.6.0 (2023-10)
8. The source parent node IAB-DU responds to the IAB-donor-CU with a UE CONTEXT MODIFICATION
RESPONSE message.
9. The IAB-donor-CU sends an SGNB MODIFICATION REQUIRED message to the MeNB.
10/11. The MeNB initiated SgNB Modification procedure may be triggered by the SgNB initiated SgNB
Modification procedure (e.g. to provide information such as data forwarding addresses, new SN security key,
measurement gap, etc.).
12. The MeNB and the migrating IAB-MT perform RRC Connection Reconfiguration procedure. The
RRCConnectionReconfiguration message includes information as described for the intra-CU topology adaptation
procedure in SA in clause 8.2.3.1.
13. The MeNB sends an SGNB MODIFICATION CONFIRM message to the IAB-donor-CU.
14. The migrating IAB-MT performs Random Access procedure at the target parent node IAB-DU.
15-19. The remaining steps of the procedure follow the steps 11-15 of the intra-CU topology adaptation procedure in
SA scenario, as defined in clause 8.2.3.1. The main difference is that the RRC message for the migrating IAB-
node, if involved, will be transmitted using the MCG SRB.",53.png
"Figure 8.2.4-1: Example for IAB topology with two redundant paths
","shows an example for an IAB topology, where one IAB-node, referred to as the dual-connecting IAB-
node, has two paths towards the IAB-donor via different IAB-donor-DUs.",54.png
Figure 8.2.4-2: Procedure for establishment of redundant path in IAB topology,". The dual-connecting IAB-MT sends a MeasurementReport message to the first parent node IAB-DU. This report
is based on a Measurement Configuration the dual-connecting IAB-MT received from the IAB-donor-CU
before.
2.The first parent node IAB-DU sends an UL RRC MESSAGE TRANSFER message to the IAB-donor-CU to
convey the received MeasurementReport.
3. The IAB-donor-CU sends the UE CONTEXT SETUP REQUEST message to the second parent node IAB-DU,
to create the UE context for the dual-connecting IAB-MT and to set up one or more bearers. These bearers can
be used by the dual-connecting IAB-MT for its own signalling, and, optionally, data traffic.
4. The second parent node IAB-DU responds to the IAB-donor-CU with a UE CONTEXT SETUP RESPONSE
message.
5.The IAB-donor-CU sends a DL RRC MESSAGE TRANSFER message to the first parent node IAB-DU, which
includes a generated RRCReconfiguration message. The RRCReconfiguration message may contain one or more
TNL address(es) for the dual-connecting IAB-DU, which are anchored at the second-path IAB-donor-DU. The
IAB-donor-CU can proactively obtain these TNL addresses from the second-path IAB-donor-DU. In case IPsec
tunnel mode is used to protect the F1 and non-F1 traffic, the allocated TNL address is the outer IP address. The
TNL address allocation is not necessary if the first and second paths use the same IAB-donor-DU.
6. The first parent node IAB-DU forwards the received RRCReconfiguration message to the dual-connecting IAB-
MT.
7. The dual-connecting IAB-MT responds to the first parent node IAB-DU with an RRCReconfigurationComplete
message.
8. The first parent node IAB-DU sends an UL RRC MESSAGE TRANSFER message to the IAB-donor-CU, to
convey the received RRCReconfigurationComplete message.
9. A Random Access procedure is performed at the second parent node IAB-DU.
10. The IAB-donor-CU configures BH RLC channels and BAP-layer route entries on the second path between dual-
connecting IAB-node and second-path IAB-donor-DU. These configurations may be performed at an earlier
stage, e.g. immediately after step 3.
11. The new TNL addresses allocated in step 5 (if any) are added to the dual-connecting IAB-DU’s F1-C
association(s) with the IAB-donor-CU. The IAB-donor-CU may configure new UL BH information on the
second path for F1AP messages.
If new TNL addresses for F1-C traffic are configured, new SCTP association(s) between the dual-connecting
IAB-node and the IAB-donor-CU may be established using the new TNL address information of the dual-
connecting IAB-node. The dual-connecting IAB-node sends an F1AP gNB-DU CONFIGURATION UPDATE
message to the IAB-donor-CU, which may include new (outer) IP addresses and corresponding new (inner) IP
address for the F1-U traffic to be switched to the target path.
12. The IAB-donor-CU may migrate the F1-U tunnels it has with the dual-connecting IAB-DU from the first path to
the second path via the UE CONTEXT MODIFICATION REQUEST message.
13. The dual-connectivity IAB-DU replies with a UE CONTEXT MODIFICATION RESPONSE message.
Steps 12 and 13 can be performed for a subset of UE bearers, e.g., to balance the load between the first and the second
path.
In case the second path is used for the dual-connecting IAB-node’s descendant node(s), Steps 10 and 11 are also
performed for the descendant node(s), as follows:
When the second path uses a different IAB-donor-DU, the IAB-donor-CU shall configure the descendent IAB-
DU(s) with one or more new TNL addresses, which are anchored on the IAB-donor-DU of the second path.
If needed, the IAB-donor-CU configures BH RLC channels, BAP-layer route entries on the target path for the
descendant nodes and the BH RLC channel mappings on the descendant nodes in the same manner as
described for the dual-connecting IAB-node in step 10.
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 44
 ETSI TS 138 401 V17.6.0 (2023-10)
The descendant nodes’ new TNL addresses (if any) are added to the descendant node IAB-DU’s F1-C
association(s) with the IAB-donor-CU. The IAB-donor-CU may configure UL BH information for the second
path to carry F1AP messages.
The IAB-donor-CU may migrate the F1-U tunnels it has with the dual-connecting IAB-node’s descendant
node(s) from the first path to the second path, as described for step 12.
Based on implementation, these steps can be performed after or in parallel with the redundant path addition of
the dual connecting IAB-node.",55.png
"Figure 8.2.5-1: IAB intra-CU backhaul RLF recovery procedure for an IAB-node in SA mode
"," shows an example of the BH RLF recovery procedure for an IAB-node in SA mode. In this example, the
IAB-node changes from its initial parent node to a new parent node, where the new parent node is served by an IAB-
donor-DU different than the one serving its initial parent node.1. The IAB-MT declares BH RLF for the MCG as described in TS 38.331 [23], clause 5.3.10.3.
2. The IAB-MT undergoing recovery from RLF conducts the RRC re-establishment procedure at the new parent
node, as defined in clause 8.7. In this procedure, the IAB-donor-CU may provide new TNL address(es), which
is(are) anchored at the new IAB-donor-DU, to the IAB-MT via RRC signalling. Furthermore, the IAB-donor-CU
may also provide a new default UL mapping which includes a default BH RLC channel and a default BAP
Routing ID for UL F1-C/non-F1 traffic on the target path, to the IAB-node undergoing recovery from RLF via
RRCReconfiguration message in this procedure.
3.The remaining part of the procedure follows the steps 11-15 of the intra-CU topology adaptation procedure
defined in clause 8.2.3.1.",56.png
Figure 8.3.1-1: Procedure for centralized retransmission in intra gNB-CU scenarios,"This mechanism allows to perform the retransmission of the PDCP PDUs that are not delivered by a gNB-DU (gNB-
DU1) because the corresponding radio links toward the UE are subject to outage. When such outage occurs, the gNB-
DU affected by outage informs the gNB-CU of such event. The gNB-CU can switch transmission of data traffic, as well
as perform retransmission of undelivered PDCP PDUs, from the gNB-DU affected by outage to other available gNB-
DUs (e.g. gNB-DU2 in Figure 8.3.1-1) with a well-functioning radio link toward the UE. The mechanism is also
applicable in EN-DC and MR-DC with 5GC, refer to TS 37.340 [12 The mechanism is shown in Figure 8.3.1-1 and targets the multi-connectivity scenario, where a UE is served by
multiple data radio bearers established at least on two gNB-DUs, and it includes the following steps:
0. The UE is connected and can transmit/receive data to/from gNB-DU1 and gNB-DU2.
1. gNB-DU1 realizes that the radio link towards the UE is experiencing outage.
2. gNB-DU1 sends the ""Radio Link Outage"" notification message to the gNB-CU over the F1-U interface, as part
of the DDDS PDU of the concerned data radio bearer. The message may include information to be used by the
gNB-CU to perform retransmission of the PDCP PDUs that were not delivered by the gNB-DU1 (e.g. the highest
transmitted NR PDCP Sequence Number, the highest successfully delivered NR PDCP Sequence Number and
the lost NR-U Sequence Numbers).
3. gNB-CU decides to switch data traffic transmission and retransmission of PDCP PDUs that were undelivered in
gNB-DU1 via gNB-DU2. gNB-CU stops sending downlink traffic to gNB-DU1. The radio leg between gNB-
DU1 and the UE is not necessarily removed.
4. gNB-CU starts sending traffic (namely new PDUs and potentially retransmitted PDUs) to gNB-DU2.
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 46
 ETSI TS 138 401 V17.6.0 (2023-10)
5. If gNB-DU1 realizes that the radio link of the concerned data radio bearer is back in normal operation, it may
send a ""Radio Link Resume"" notification message as part of the DDDS PDU over the F1-U interface to inform
the gNB-CU that the radio link can be used again for the concerned data radio bearer.
6. gNB-CU may start sending traffic (namely new PDUs and potentially retransmitted PDUs) of the concerned data
radio bearer via gNB-DU1 again.",57.png
Figure 8.4.1.1-1: SgNB addition procedure in EN-DC," gives the SgNB addition procedure in EN-DC given that en-gNB consists of gNB-CU and gNB-DU(s), as
shown in Figure 8.4.1.1-1.1~8: refer to TS 37.340 [12].
a1. After receiving the SGNB ADDITION REQUEST message from MeNB, the gNB-CU sends the UE CONTEXT
SETUP REQUEST message to the gNB-DU to create a UE context. As specified in TS 37.340 [12], in the course of
a Secondary Node Change, the UE CONTEXT SETUP REQUEST message may contain source cell group
configuration to allow gNB-DU to perform delta configuration.
a2. The gNB-DU responds to the gNB-CU with the UE CONTEXT SETUP RESPONSE message. In case the gNB-DU
receives the UE CONTEXT SETUP REQUEST message without the source cell group configuration or in the course of
a Secondary Node Change as specified in TS 37.340 [12] or if the gNB-DU decides to perform full configuration after
receiving the source cell group configuration, it shall perform full configuration and indicate that it has applied full
configuration in the UE CONTEXT SETUP RESPONSE message.
NOTE:
On Inter-gNB-CU Mobility, same method is performed to achieve full configuration and delta
configuration.",58.png
Figure 8.4.2.1-1 SgNB release procedure in EN-DC (MN initiated),"the SgNB release procedure in EN-DC given that the en-gNB consists of a gNB-CU and gNB-DU(s).
MN initiated SN Release 1~8: refer to TS 37.340 [12].
NOTE:
 The timing of sending the Step 2 SGNB RELEASE REQUEST ACKNOWLEDGE message is an
example, it may be sent e.g. after step a1 or after a2 and it is up to implementation.
a1. After receiving SGNB RELEASE REQUEST message from MeNB, gNB-CU sends the UE CONTEXT
MODIFICATION REQUEST message to gNB-DU to stop the data transmission for the UE. It is up to gNB-DU
implementation when to stop the UE scheduling.
a2. gNB-DU responds to gNB-CU with UE CONTEXT MODIFICATION RESPONSE message.
a3. After receiving the UE CONTEXT RELEASE message from MeNB, the gNB-CU sends the UE CONTEXT
RELEASE COMMAND message to the gNB-DU to release the UE context.
a4. The gNB-DU responds to the gNB-CU with the UE CONTEXT RELEASE COMPLETE message.",59.png
Figure 8.4.3-1: SCG Suspend/Resume in RRC_INACTIVE,"1. The CU of SN sends the UE CONTEXT MODIFICATION REQUEST message to the DU of SN to suspend the SCG
of the UE before the UE enters into RRC_INACTIVE state from RRC_CONNECTED state.
2. The DU of SN sends the UE CONTEXT MODIFICATION RESPONSE to the CU of SN, and keeps all lower layer
configuration for UEs without transmitting or receiving data from UE.
3~4: refer to TS 37.340 [12].
5. The CU of SN sends the UE CONTEXT MODIFICATION REQUEST message to the DU of SN to resume the SCG
of the UE before the UE enters into RRC_CONNECTED state from RRC_INACTIVE state.
6. The DU of SN sends the UE CONTEXT MODIFICATION RESPONSE message to the CU of SN, and uses the
previously stored lower layer configuration for the UE.
7~11: refer to TS 37.340 [12].",60.png
